name bandwidth time
will199 66.3333 12.7677
pores_1 7.66667 0.184772
can__161 32 3.17277
sherman1 68 0.14067
can__292 44.6667 76.7704
can__144 13 12.0245
lund_a 23 0.00435125
arc130 64 98.1438
fs_760_1 77.6667 295.994
gent113 28.3333 12.2223
ash85 10 2.55389
nos3 81 0.125799
ash292 22 148.146
bcsstk05 21.3333 19.2524
ibm32 11 0.177752
