name bandwidth time
will199 66 14.3757
pores_1 7.66667 0.18529
can__161 21.6667 11.0212
sherman1 99.3333 295.163
can__292 42.3333 119.004
can__144 13 14.6074
lund_a 25 17.2851
arc130 63 188.655
fs_760_1 79.3333 294.541
gent113 27.3333 5.27794
ash85 10.3333 2.2452
nos3 181 297.752
ash292 22.3333 76.4161
bcsstk05 20.6667 23.3754
ibm32 11 0.19647
